"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;Cm1_21;NA	Cm1_21					0.03								0.09			0.08		0.07						D																									0.04	0.06			0.08	0.01	0.08	0.03	0.08				0.04						0.04	0.12		0.09			0.01							0.01		0.05		0.03	0.06
Bacteria;Proteobacteria;Gammaproteobacteria;Piscirickettsiales;Piscirickettsiaceae;Candidatus Endoecteinascidia;NA	Candidatus Endoecteinascidia					0.03																																																																																
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;NA;NA	Cellvibrionaceae							0.02		0.01	0.07		0.04	0.01																	0.16	0.3	0.55		0.08																																		0.15		0.06		0.15	0.18	0.15		0.18	0.07	0.24	0.39	0.14	0.36	0.13			
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae;Endozoicomonas;NA	Endozoicomonas																								0.01												0.01														0.03														0.03	0.02																				
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae;Kistimonas;NA	Kistimonas																																																				0.01																																	
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Gven_F17;NA;NA	Gven_F17													0.12			0.06																																			0.02					0.28				0.08																									
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus;NA	Halioglobus					0.2				0.02		0.08	0.03	0.27		0.09	0.08							0.01	0.03			0.03																	0.08	0.22	0.25	0.44		0.25	0.15	0.13	0.07	0.18	0.06	0.1	0.29	0.17	0.04		0.15	0.15	0.02		0.1	0.03		0.18	0.02	0.03	0.02		0.06	0.08	0.27	0.04	0.04			0.03		0.09	0.03	0.08	0.03	0.08
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Luminiphilus;NA	Luminiphilus	0.44	0.78	0.91	0.55		0.17	0.16	0.12				0.12	0.04	0.11	0.1		0.11					0.21			0.04		0.11	0.05	0.06																			0.79			0.04	0.04		0.16	0.05			0.09		0.15	0.08		0.06					0.01	0.06		0.09														
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60_NOR5_ clade;NA	OM60_NOR5_ clade	1.26	0.91	0.6	1.28	3.55	0.97	0.36	1.05	0.72	1.65	1.37	0.95	0.96	0.87	0.61	1.3	0.98	0.51	0.49	0.63	0.36	0.82	0.52	1.18	0.27	0.35	1.41	0.4	1.72	0.25	0.48	0.8	0.15	0.71	0.6	0.46	0.26	0.31	1.05	0.46	0.73	0.33	0.27	0.59	0.59	0.35	1.03	0.68	0.51	0.96	1.13	0.75	1.15	1.17	1.02	1.03	1.78	0.8	0.69	1.07	0.5	0.84	0.69	0.55	0.4	1.52	0.86	0.75	1.48	0.53	1.53	0.11	0.07	0.15	0.69	0.47	0.52	0.42	0.31	0.27	0.23	0.34	0.37	0.27	0.32
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA;NA	KI89A clade	0.51	0.4	0.56	0.3		0.77	0.29	0.45	0.11		0.13	0.15	0.07	0.41	0.17	0.04	0.14			0.25	0.12	0.32	0.27	0.08	0.27	0.16	0.23	0.16	0.14	0.1	0.06	0.16	0.61	0.2	0.14	0.14	0.13	0.24		0.15	0.17	0.3	0.2					0.42		0.05	0.16	0.08		0.18	0.15		0.08	0.11		0.14	0.06		0.27	0.05	0.03		0.13	0.07	0.05		0.22	0.01	0.03		0.06		0.04			0.02	0.02				
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Litoricolaceae;Litoricola;NA	Litoricola	0.58		0.29	0.21	0.02	0.42	0.23		0.02		0.05	0.07		0.12	0.05			0.02					0.06	0.03	0.07	0.14	0.06			0.11	0.17	0.22	0.04		0.09	0.09	0.14		0.15	0.02	0.25	0.26	0.12					0.37			0.08			0.09	0.11					0.05	0.06	0.04				0.02		0.03	0.14		0.09	0.03			0.02		0.03			0.02	0.01		0.04	0.02	0.04
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;NA	Marinobacter																																												0.07																																									
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;NA	Acinetobacter																			0.02																																				0.02																														
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;NA;NA	Nitrincolaceae		1.98	0.01	1.28	3.68	1.62	1.1	1.57	2.49	3.81	1.61	2.46	0.79	0.18	1.82	2.56	1.61	0.56	2.05	2.74	3.86	3.73	3.21	2.87	5.65	5.84	1.15	2.66	1.19	11.22	9.63	7.94	7.03	5.99	3.25	2.32	3.96	2.68	6.61	3.37	1.93	6.96	6.85	1.97	1.46	3.67	3.04	0.99	6.73	3.48	2.21	2.97	3.33	1.62	2.46	0.56	2.4	1.93	2.41	1.28	0.73	1.57	2.68	3.2	5.05	2.63	9.68	1.91	2.54	1.81	1.79	10.04	11.66	7.77	7.34	7.98	4.23	5.17	5.42	7.04	7.23	7.85	8.77	6.59	6.83
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;OM182 clade;NA;NA	OM182 clade	1.48	0.9	1	1.16	1.5	1.38	0.81	2.12	1.06	1	1.18	1.26	1.14	0.84	1.02	1	0.91	1.45	1.37	1.69	1.06	2.28	1.53	1.53	0.33	0.75	2.25	0.65	2.74	0.38	0.48	0.3	0.07	0.11	0.74	1.67	0.25	0.59	0.74	0.77	1.31	0.47	0.21	1.28	1.02	1.26	0.98	1.07	1.29	0.95	1.69	0.95	0.94	1.36	1.12	0.91	0.92	0.85	0.84	1.38	1.14	1.19	1.88	1.33	1.37	1.59	1.31	0.91	1.79	0.88	2.74	1.47	1.19	1.11	1.86	2.45	1.29	1.39	1.15	1.09	1.58	0.88	1.45	1.17	1.56
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;C1_B045;NA	C1_B045		0.84	1.55	0.38	0.09	0.41	1.06	0.19					0.01		0.04																						0.01			0.01			0.03		0.16	0.05	0.02	2.14			0.23	0.04		0.03		0.02		0.06										0.01																	
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;Porticoccus;NA	Porticoccus	0.19	0.19	0.22	0.17		0.06	0.18	0.12	0.27		0.31	0.18	0.15		0.23	0.04	0.53	0.29		0.21	0.43		0.61		0.57	0.32	0.43	0.43	0.07	0.03	0.17		0.33	0.13	0.25	0.5	1.73	1.49	0.13	0.71	0.41	1.3	2.01	0.07	0.01						0.04	0.18		0.33	0.04	0.17	0.07	0.22	0.16	0.22	0.27	0.44	0.18		0.17		0.1	0.12	0.02	0.03		0.01			0.01	0.09	0.09	0.05	0.05			0.05			0.02
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;SAR92 clade;NA	SAR92 clade	0.92	1.38	1.71	0.55	4.45	3.17	1.42	1.48	1.08	1.81	0.63	1.25	0.6	1.87	1.13	1.89	0.85	0.65	1.77	1.83	1.34	1.85	1.55	1.98	1.49	2.4	0.69	3.09	0.37	3.25	3.33	1.41	4.13	1.56	0.99	1.96	0.88	1.36	0.29	0.82	1.19	0.96	0.83	3.56	3.07	3.66	3.25	1.71	1.39	1.07	1.02	0.89	0.94	1.05	1.11	0.28	1.37	1.41	2.34	0.91	0.64	0.82	1.47	1.77	1.74	1.74	1.32	1.15	1.53	1.25	2.05	1.69	2.11	1.78	0.83	1.85	1.72	1.43	1.41	1.01	1.97	0.82	1.76	1.27	1.04
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;NA	Pseudohongiella	0.29	0.84	0.41	0.41	1.55	0.97	0.2	1.26	0.81	0.81	0.6	0.85	0.9	0.78	0.72	0.79	0.83		0.05		0.45	0.2	0.56	1.05	0.28	0.41	0.71	0.76	0.55	0.84	0.63	0.62	0.89	0.03	1.04	1.31	0.94	1.38	1.24	1.25	1.58	1.46	1.74	1.74	1.92	1.9	1.69	0.74	1.13	0.51	1.27	0.92	1.11	0.73	0.88		1.07	0.57	0.15	0.72	0.78	1.12	0.85	0.9	0.52	0.78	0.43	1.24	1.01	0.73	1.29	0.7	0.91	0.8	0.51	0.83	1.3	0.68	1.05	0.91	0.73	0.84	0.87	0.36	0.85
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA	Pseudomonas					0.27																																																														0.01												0.03						
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;SAR86 clade;NA;NA	SAR86 clade	7.94	4.15	4.64	3.56	2.07	5.15	6.28	5.47	4.82	3.72	4.35	4.67	3.43	1.41	4.81	4.14	4.73	5.34	4.05	3.8	3.61	2.84	5.17	2.26	3.68	5.21	4.72	5.1	4.82	1.89	1.54	2.14	1.14	3.46	5.64	4.16	4.61	5.31	5.15	3	4.79	3.65	2.34	3.76	1.76	1.96	2.63	3.67	1.94	2.81	4.36	3.71	3.63	5.75	3.63	2.66	2.6	5.15	2.34	4.59	4.76	3.47	3.31	2.67	3.45	2.3	1.39	3.61	4.35	4.26	3.78	1.33	1.15	2.66	1.8	2.23	4.28	3.31	3.56	1.93	2.2	1.41	1.69	2.01	1.86
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;NA;NA	Saccharospirillaceae																																	0.03																			0.01													0.02		0.05								0.13	0.04			0.02				0.05		0.08
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Reinekea;NA	Reinekea																														0.34	0.41	0.63	0.1	0.03	0.04	0.02	0.03		0.13		0.04	0.06	0.04	0.59		0.01																	0.02					0.01	0.03		0.04				0.03		0.03	0.03			0.03				
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1_7 clade;NA	BD1_7 clade		0.1	0.08	0.07	0.19	0.47	0.36						0.02	0.09	0.01	0.04	0.02																											0.09	0.05	0.06	0.1	0.19	0.11		0.04	0.09					0.07		0.27	0.02																							0.08		0.02
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;NA;NA	Spongiibacteraceae					0.1						0.05					0.07		0.01		0.06		0.11		0.32				0.01		0.1	0.19	0.3	0.04						0.07				D	0.12	0.04		0.1		0.02				0.08		0.08	0.03	0.09			0.11		0.03	0.07	0.09		0.28	0.07		0.05		0.12	0.18	0.2		0.03		0.06	0.03		0.05	0.07	0.06	0.17		0.04
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Sinobacterium;NA	Sinobacterium																0.06								0.04																										0.02	0.04				0.09		0.03	0.01				0.01	0.02	0.02	0.03		0.06	0.04	0.09														0.01		
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;SUP05 cluster;NA	SUP05 cluster	0.87	1.64	1.26	2.84	11.56	0.95	1.19	2.14	6.76	10.03	3.89	2.04	3.26	2.46	6.63	7.56	4.01	4.66	4.08	4.21	3.47	2.14	4.1	4.74	2.37	4.59	2.96	3.53	3.95	0.52		0.12	0.23	1.8	5.23	6.09	3.57	3.67	1.39	4.86	2.52	4.5	4.61	10.87	9.56	10.79	9.95	1.45	10.62	9.7	5.82	6.71	8.54	3.82	4.4	2.32	7.13	7.06	2.43	4.01	3.98	4.61	5.03	9.4	9.29	4.79	4.08	7.66	5.25	6.3	3.62	16.03	15.63	13.61	8.17	12.07	8.12	9.69	11.32	13.52	12.19	14.27	13.49	11.8	13.72
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Unknown Family;Alkalimarinus;NA	Alkalimarinus																																																																										0.04											
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;NA	Woeseia					0.11				0.24	0.28	0.21		0.98		0.14	0.44	0.09	0.31		0.16			0.01			0.05										0.06								0.19	0.51	0.36	0.65		0.13	0.6	0.49	0.21	0.13	0.13	0.3	2.02	0.4	0.13		0.73	0.41	0.19	0.06	0.31	0.14	0.24	0.06	0.41	0.08	0.07	0.08		0.02	0.04	0.1	0.2	0.32	0.14	0.1	0.13	0.2	0.12		0.11	0.19
Bacteria;Proteobacteria;Gammaproteobacteria;Tenderiales;Tenderiaceae;Candidatus Tenderia;NA	Candidatus Tenderia				0.01	0.03											0.03					0.03	0.02	0.01	0.09	0.08	0.01	0.02					0.12					0.07	0.09				0.03	0.04				0.04			0.03	0.01				0.02				0.06			0.01	0.01		D	0.04	0.05	0.05	0.01		0.03	0.11		0.06		0.03	0.04	0.03	0.06		0.03	0.07	0.02		0.04
Bacteria;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae;NA;NA	Thiohalorhabdaceae									0.04																																																																												
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas;NA	Cocleimonas															0.02																					0.01											0.04							0.02	0.08	0.05														0.01						0.02					0.01				
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;NA;NA	Thiotrichaceae	0.53	0.28	0.26	0.16	0.07	0.21	0.27	0.06	0.37	0.37	0.29	0.22	0.25	0.07	0.4	0.63	0.41	0.18	0.27	0.4	0.16	0.02	0.25	0.39	0.75	0.53	0.28	0.31	0.14				0.02		0.15	0.43	0.35	0.17		0.37	0.06	0.48	0.28	0.08	0.14		0.14	0.09	0.1	0.22	0.24	0.36	0.3	0.19	0.17	0.12	0.28	0.28	0.15	0.17	0.33	0.21	0.51	0.46	0.29	0.32	0.08	0.48	0.26	0.31	0.09	0.24	0.02	0.32	0.38	0.14	0.25	0.4	0.41	0.42	0.18	0.4	0.11	0.41	0.26
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;NA	Thiothrix																																																												0.05																									
Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;NA;NA;NA	UBA10353 marine group											0.07		0.23		0.05	0.11	0.04	0.02																										0.04			0.05		0.17			0.04				0.51	0.21	0.08		0.16	0.1	0.02			0.06	0.09	0.1	0.03	0.02				0.02	0.06	0.01			D			0.06				0.02
	<<<Spirochaetota>>>																																																																																					
Bacteria;Spirochaetota;Brevinematia;Brevinematales;Brevinemataceae;Brevinema;NA	Brevinema																					0.01																																																																
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;NA	Spirochaetaceae						0.09																																																																															
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2;NA	Spirochaeta 2																																													0.02																																								
	<<<Sva0485>>>																																																																																					
Bacteria;Sva0485;NA;NA;NA;NA;NA	Sva0485													0.12			0.04	0.02																												0.19				0.12	0.12	0.05	0.02	0.06			0.21	0.11	0.05		0.03	0.03			0.1		0.06		0.01										D				0.04	0.05		0.03
	<<<Verrucomicrobiota>>>																																																																																					
Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;MSBL3;NA	MSBL3																																																																						0.02															
Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;R76_B128;NA	R76_B128										0.02			0.1		0.08	0.04		0.07						0.02																				0.04		0.01	0.04		0.13	0.14	0.09	0.03	0.16	0.06	0.15	0.39	0.09	0.02		0.18	0.09			0.1	0.08	0.09	0.15	0.04						0.06	0.03		0.02	0.05			0.05	0.02			0.02
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1_41;NA;NA;NA	WCHB1_41													0.03			0.02	0.01																											0.51	0.02		0.01				0.01							0.02							0.01	0.02					0.02							D							
Bacteria;Verrucomicrobiota;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera;NA	Lentisphaera					0.18				0.06	0.02			0.13		0.06	0.29	0.01		0.02			0.01		0.02												0.01								0.72	0.02	0.15	0.39		0.1		0.01	0.12	0.05		0.07	0.27	0.44	0.06	0.18	0.05		0.02	0.01	0.3	0.12		0.11	0.05			0.07				0.03	0.02	0.02	0.05	0.03		0.25	0.1	0.04		0.02
Bacteria;Verrucomicrobiota;Lentisphaeria;P_palmC41;NA;NA;NA	P_palmC41																0.02																																	0.1			0.01		0.01		0.03					0.04				0.05		0.02					0.03	0.1	0.06						0.03	0.02	0.03	0.06		0.02
Bacteria;Verrucomicrobiota;Lentisphaeria;SS1_B_02_17;NA;NA;NA	SS1_B_02_17													0.04																																						0.02																0.02																		
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Arctic95B_14;NA;NA	Arctic95B_14																																																			0.01																																		
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;BD2_3;NA;NA	BD2_3															0.03									0.01																							0.01		0.07	0.02					0.07	0.03		0.03							0.02	0.01	0.04																	0.01	D
Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;NA;NA;NA	Omnitrophales																																												0.02											0.02		0.02			0.02																									
Bacteria;Verrucomicrobiota;Omnitrophia;Omnitrophales;koll11;NA;NA	koll11																																																																					0.01					0.02											
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Arctic97B_4 marine group;NA;NA;NA	Arctic97B_4 marine group																0.21			0.2	0.06						0.02																															0.63					0.16	0.08	0.27				0.34																0.02	0.02
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;LD29;NA	LD29			0.07			0.25					0.17		0.06					0.11		0.08					0.01						0.03	0.08			0.04	0.05	0.02								0.04			0.28			0.1	0.04		0.19						0.18	0.11	0.04	0.09		0.02			0.02	0.13									0.07	0.17		0.13				
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Cephaloticoccus;NA	Cephaloticoccus								0.28	0.1	0.04	0.33		0.02			0.01	0.08	0.05	0.09	0.01	0.11	0.18	0.14	0.2	0.02	0.02	0.21	0.34	0.14							0.12	0.02			0.03		0.01	0.02								0.02			0.5	0.06	0.08				0.08	0.05	0.12	0.02		0.13	0.24		0.14	0.23	0.4	0.19		0.04	0.18	0.17	0.18	0.09	0.23	0.28	0.18	0.06	0.18	0.08	0.22	0.13
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Diplosphaera;NA	Diplosphaera									0.02		0.09	0.19	0.16				0.12	0.16			0.1	0.13		0.06		0.01	0.12	0.14	0.2						0.18	0.3	0.41	0.64	0.09	0.44	0.32	0.41	0.14				0.03				0.01			0.16		0.13			0.01	0.13	0.14	0.07	0.03		0.07	0.04	0.05	0.09	0.22	0.24	0.49		0.02			0.11	0.14	0.21	0.13	0.12	0.1	0.08	0.09		0.09
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;NA;NA	Opitutaceae									0.01				0.01											0.12																												0.02		0.01		0.01							0.01	0.04	0.04	0.11	0.02		0.04	0.03	0.08					0.09		0.01						0.02	
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus;NA	Cerasicoccus													0.02			0.02					0.01																																																																
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Coraliomargarita;NA	Coraliomargarita	0.22	0.34	0.35	0.4		0.21																																										0.42			0.02																																		
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Lentimonas;NA	Lentimonas	1.85	2.68	0.88	1.89	0.23	1.33	3.15	0.62	0.18	0.54		0.19	0.02	1.3	0.18	0.11	0.34	0.03			0.03	0.52	0.02	1.09	0.02		0.95		0.24	1.68	2.75	1.75	0.01	0.92	0.17				2.48		0.45			0.15	0.24	0.22	0.14	0.79	0.32	0.82	0.23	0.27		0.03	0.07	0.16	0.32	0.3	1.06	0.38	0.07			0.21	0.02	1.17	0.08		0.05	0.03	1.54	1.48	1.95	1.18	0.12	0.65	0.18	0.16	0.17	0.33	0.99	0.37	2.03	0.35	0.48
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;MB11C04 marine group;NA	MB11C04 marine group	0.56	1.02	0.94	0.77	0.69	0.41		0.43	0.81	1.13	0.8	0.35	0.42	0.71	0.17	1.17	0.44	0.73	0.4	1.15	0.49	0.82	0.63	1.12	0.21	0.42	0.26	0.21	0.34			0.08		0.29	0.1	0.31	0.29	0.34	0.12	0.22	0.45	0.2	0.14	2.6	0.51	0.38	0.35	0.93	1.43	1.62	1.25	0.67	1.11	0.91	1.92	0.25	0.44	0.47	0.7	0.43	0.73	0.94	1.22	1.85	0.47	1.05	0.18	0.58	1.46	0.5	1.61	0.36	0.25	0.08	0.11	0.25	0.19	0.13	0.18	0.1	0.17	0.29	0.34	0.35	0.28
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Pelagicoccus;NA	Pelagicoccus	0.12	0.15	0.15	0.16	0.8	0.21		0.21	0.4	0.28	0.15	0.18	0.21	0.07	0.15	0.14	0.22	0.1	0.02	0.11	0.06	0.27	0.08	0.25	0.03		0.49	0.03	0.84						0.07	0.21	0.05	0.06		0.29	0.06		0.02	0.7	0.72	0.75	0.47	0.33	0.32	0.63	0.09	0.43	0.41	0.15	0.28	0.15	0.2	0.11		0.11	0.15	0.16	0.08	0.1	0.38	0.35	0.13	0.24	0.14	0.18	0.34	0.19	0.12	0.09	0.24	0.11	0.08	0.29	0.25	0.23	0.19	0.34	0.27	0.19	0.37
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;SCGC AAA164_E04;NA	SCGC AAA164_E04									0.31				0.02		0.03	0.02													0.03															0.01						0.09		0.18	0.02				0.03	0.02		0.03		0.02	0.02	0.04	0.01	0.36		0.23		0.03														0.06	0.03
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;NA;NA	DEV007		0.1	0.12	0.37	0.14			1.33	0.37	0.06	0.51	0.13	1.82		0.26	0.06	0.47	1.79	0.86	0.07	1.07	1.14	1.36	0.37	0.02		2.22	0.3	3.85	0.01				0.03	1.86	2.67	1.45	1.04	0.6	2.63	1.61	1.04	1.93	0.21			0.09	0.03	0.15		0.42	0.58		0.31	0.05	1.51		0.33		0.7	1.5	1.59	0.16		0.56	0.74	0.07	0.15	1.33	2.99	2.59	0.02	0.02	0.09	0.52	0.23	1.08	0.94	0.77	0.69	0.13	1.28	0.63	0.73	0.46
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;NA	Luteolibacter									0.12	3.89	0.05		0.01	0.05	0.03	0.36	0.04																																	3.7	0.01	0.21	2.66	0.03	0.11		2.22			0.02		0.01	0.02					0.01																	
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus;NA	Persicirhabdus				0.03	0.37			0.26	0.12	0.26	0.45	0.23	0.45	0.59	0.87	0.45	0.2	0.21	0.36	2.35	0.09	3.82	0.11	1.64	0.08		0.15	0.56	0.32			0.03	0.02	0.05	0.57	2.4	2.63	1.93		1.21	0.31	1.92	1.46	4.14	0.26	0.3	0.44		0.44	0.18	0.95	0.11	0.19	0.21	0.86	0.65	0.41	0.76	0.45	0.52	0.25	0.73	3.02	0.71	0.81	2.45	2.12	0.78	3.48	2.97	1.89	0.01	0.01	0.24	1.46	6.33	1.14	4.4	4.32	3.43	0.86	2.22	1.58	2.18	1.05
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus;NA	Roseibacillus	0.27	0.23	0.15	0.69	3.2	0.38	0.2	2.11	1.12	1.81	0.83	0.97	0.66	0.55	0.7	1.24	0.74	0.74	1.62	0.36	0.5	2.17	0.58	1.93	0.03	0.05	0.65	0.21	1.73			0.05	0.16	0.65	0.53	1.63	1.99	2.25	0.62	1.25	1.57	1.42	0.97	1.38	0.64	1.15	1.24	0.62	2.82	1.91	2	1.62	1.29	1.09	2.49	0.99	1.55	0.57	0.36	1.65	0.71	1.89	0.64	1.3	1.9	2.67	0.91	1.02	1.35	0.54	3.03	1.85	1.99	0.88	1.37	0.56	0.5	2.15	1.79	2.09	1.49	2.51	3.01	1.55	1.8
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;NA	Rubritalea		0.04	0.01			0.31	0.7			0.15			0.08	0.27	0.12	0.33	0.08	0.04													0.03					0.05								0.48		0.05			0.32		0.19		0.1			0.24		0.07		0.08	0.07			0.52			0.16	0.19	0.05		0.02		0.02		0.07					0.04	0.09	0.06		0.02	
	"<<<Environmental Unknown, Unknown Phylum (% out of total)>>>"																																																																																					
Environmental Unknown;NA;NA;NA;NA;NA;NA	Environmental Unknown	0.07						0.02	0.02				0.01	D			0.02						0.02		0.03			0.02												0.01	0.01		0.01			0.02										0.01				0.02																										
